composer,piece_id,title,source,perf_midi_file,orig_midi_file,annot_file,aligned,duration,split,n_notes
Albeniz,2,CPM_Espana_Opus_165_Tango,MAPS,amaps/alb_esp2_AkPnCGdD.mid,amaps/alb_esp2_AkPnCGdD.mid,,True,125.45699299999988,train,679
Albeniz,2,CPM_Espana_Opus_165_Tango,MAPS,amaps/alb_esp2_AkPnStgb.mid,amaps/alb_esp2_AkPnStgb.mid,,True,125.45699299999988,train,679
Albeniz,2,CPM_Espana_Opus_165_Tango,MAPS,amaps/alb_esp2_SptkBGAm.mid,amaps/alb_esp2_SptkBGAm.mid,,True,125.45699299999988,train,679
Albeniz,2,CPM_Espana_Opus_165_Tango,MAPS,amaps/alb_esp2_SptkBGCl.mid,amaps/alb_esp2_SptkBGCl.mid,,True,125.45699299999988,train,679
Albeniz,3,CPM_Espana_Opus_165_Malaguena,MAPS,amaps/alb_esp3_AkPnCGdD.mid,amaps/alb_esp3_AkPnCGdD.mid,,True,173.26441449583308,train,1184
Albeniz,4,CPM_Espana_Opus_165_Serenata,MAPS,amaps/alb_esp4_AkPnStgb.mid,amaps/alb_esp4_AkPnStgb.mid,,True,191.36439874999968,validation,1398
Albeniz,5,CPM_Espana_Opus_165_Capricho,MAPS,amaps/alb_esp5_SptkBGCl.mid,amaps/alb_esp5_SptkBGCl.mid,,True,121.1689994999999,train,929
Albeniz,6,CPM_Espana_Opus_165_Zortzico,MAPS,amaps/alb_esp6_SptkBGCl.mid,amaps/alb_esp6_SptkBGCl.mid,,True,152.32693726250028,train,1489
Albeniz,8,CPM_Suite_espanola_Cataluna,MAPS,amaps/alb_se2_StbgTGd2.mid,amaps/alb_se2_StbgTGd2.mid,,True,236.97494489166644,test,2201
Albeniz,9,CPM_Suite_espanola_Sevilla,MAPS,amaps/alb_se3_AkPnBcht.mid,amaps/alb_se3_AkPnBcht.mid,,True,248.07799700000012,train,2899
Albeniz,9,CPM_Suite_espanola_Sevilla,MAPS,amaps/alb_se3_AkPnBsdf.mid,amaps/alb_se3_AkPnBsdf.mid,,True,248.07799700000012,train,2899
Albeniz,10,CPM_Suite_espanola_Cadiz,MAPS,amaps/alb_se4_AkPnBsdf.mid,amaps/alb_se4_AkPnBsdf.mid,,True,217.08607224166656,train,1998
Albeniz,12,CPM_Suite_espanola_Aragon,MAPS,amaps/alb_se6_AkPnStgb.mid,amaps/alb_se6_AkPnStgb.mid,,True,238.6811924166664,train,3175
Albeniz,13,CPM_Suite_espanola_Castilla,MAPS,amaps/alb_se7_AkPnBsdf.mid,amaps/alb_se7_AkPnBsdf.mid,,True,152.18632958333382,train,2206
Albeniz,14,CPM_Suite_espanola_Cuba,MAPS,amaps/alb_se8_SptkBGAm.mid,amaps/alb_se8_SptkBGAm.mid,,True,267.8510717416667,train,2188
Beethoven,105,CPM_Sonata_No.23_F_minor_Appassionata_Opus_57_1,MAPS,amaps/appass_1_AkPnBsdf.mid,amaps/appass_1_AkPnBsdf.mid,,True,558.6767128250028,train,6377
Beethoven,105,CPM_Sonata_No.23_F_minor_Appassionata_Opus_57_1,MAPS,amaps/appass_1_SptkBGCl.mid,amaps/appass_1_SptkBGCl.mid,,True,558.6767128250028,train,6377
Beethoven,107,CPM_Sonata_No.23_F_minor_Appassionata_Opus_57_3,MAPS,amaps/appass_3_AkPnStgb.mid,amaps/appass_3_AkPnStgb.mid,,True,465.1289855833361,train,7222
Bach,45,CPM_The_Well-Tempered_Clavier_Part1_BWV_846,MAPS,amaps/bach_846_AkPnBcht.mid,amaps/bach_846_AkPnBcht.mid,,True,226.06199716666686,train,1282
Bach,45,CPM_The_Well-Tempered_Clavier_Part1_BWV_846,MAPS,amaps/bach_846_SptkBGAm.mid,amaps/bach_846_SptkBGAm.mid,,True,226.06199716666686,train,1282
Bach,46,CPM_The_Well-Tempered_Clavier_Part1_BWV_847,MAPS,amaps/bach_847_AkPnBcht.mid,amaps/bach_847_AkPnBcht.mid,,True,190.25854048749983,train,1845
Bach,46,CPM_The_Well-Tempered_Clavier_Part1_BWV_847,MAPS,amaps/bach_847_AkPnStgb.mid,amaps/bach_847_AkPnStgb.mid,,True,190.25854048749983,train,1845
Bach,46,CPM_The_Well-Tempered_Clavier_Part1_BWV_847,MAPS,amaps/bach_847_SptkBGCl.mid,amaps/bach_847_SptkBGCl.mid,,True,190.25854048749983,train,1845
Bach,48,CPM_The_Well-Tempered_Clavier_Part1_BWV_850,MAPS,amaps/bach_850_AkPnBsdf.mid,amaps/bach_850_AkPnBsdf.mid,,True,173.47344768750006,train,1498
Christmas,497,CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,MAPS,amaps/bk_xmas1_AkPnBsdf.mid,amaps/bk_xmas1_AkPnBsdf.mid,,True,383.85697220416694,test,2668
Christmas,497,CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,MAPS,amaps/bk_xmas1_AkPnStgb.mid,amaps/bk_xmas1_AkPnStgb.mid,,True,383.85697220416694,test,2668
